country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,source,new_hospital_occupancy_Count,new_icu_occupancy_Count
Estonia,EE,EST,1324820,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national daily data",1.88704880663034,
Sweden,SE,SWE,10230185,2020-W40,2020-09-27,2020-10-03,,,0.117299931526165
Iceland,IS,ISL,356991,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national weekly data",4.48190570630632,
Germany,DE,DEU,83019213,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national daily data",0.379430241045528,
Denmark,DK,DNK,5806081,2020-W40,2020-09-27,2020-10-03,,2.22180847976458,
United Kingdom,UK,GBR,66647112,2020-W40,2020-09-27,2020-10-03,,5.23203466040659,
Czechia,CZ,CZE,10649800,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national weekly data",19.0707806719375,4.5634659805818
Romania,RO,ROU,19414458,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national weekly data",54.7375569279348,
Greece,EL,GRC,10724599,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national weekly data",,0.447569181840738
Ireland,IE,IRL,4904240,2020-W40,2020-09-27,2020-10-03,,1.38655530724434,0.183514673017634
Slovenia,SI,SVN,2080908,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national weekly data",2.97946857813993,
Estonia,EE,EST,1324820,2020-W40,2020-09-27,2020-10-03,"TESSy COVID-19, national weekly data",,0.301927809060854
Cyprus,CY,CYP,875899,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national daily data",1.37002097273772,0.342505243184431
