country,country_code,country_code_2_digit,country_code_3_digit,cases_Count,deaths_Count,population,source,reported_date
Austria,AUT,AT,AUT,754,0,8858775,"Epidemic intelligence, national daily data",2020-09-10
Andorra,AND,AD,AND,0,0,76177,"Epidemic intelligence, national daily data",2020-06-29
Czechia,CZE,CZ,CZE,9720,58,10649800,"Epidemic intelligence, national daily data",2020-10-16
Azerbaijan,AZE,AZ,AZE,230,2,10139175,"Epidemic intelligence, national daily data",2020-05-30
Cyprus,CYP,CY,CYP,20,0,875899,"Epidemic intelligence, national daily data",2020-09-21
Bulgaria,BGR,BG,BGR,41,5,7000039,"Epidemic intelligence, national daily data",2020-05-22
Czechia,CZE,CZ,CZE,3123,7,10649800,"Epidemic intelligence, national daily data",2020-09-18
Belarus,BLR,BY,BLR,936,4,9449321,"Epidemic intelligence, national daily data",2020-05-20
Croatia,HRV,HR,HRV,225,1,4076246,"Epidemic intelligence, national daily data",2020-09-07
Denmark,DNK,DK,DNK,177,13,5806081,"Epidemic intelligence, national daily data",2020-04-12
Albania,ALB,AL,ALB,0,0,2862427,"Epidemic intelligence, national daily data",2020-01-06
Belgium,BEL,BE,BEL,442,71,11455519,"Epidemic intelligence, national daily data",2020-05-08
Croatia,HRV,HR,HRV,0,0,4076246,"Epidemic intelligence, national daily data",2020-05-24
Armenia,ARM,AM,ARM,0,0,2963234,"Epidemic intelligence, national daily data",2020-02-04
Belarus,BLR,BY,BLR,159,6,9449321,"Epidemic intelligence, national daily data",2020-07-18
Bosnia and Herzegovina,BIH,BA,BIH,4,7,3280815,"Epidemic intelligence, national daily data",2020-10-05
Estonia,EST,EE,EST,3,0,1324820,"Epidemic intelligence, national daily data",2020-05-21
Estonia,EST,EE,EST,0,0,1324820,"Epidemic intelligence, national daily data",2020-02-12
Denmark,DNK,DK,DNK,536,1,5806081,"Epidemic intelligence, national daily data",2020-10-03
Albania,ALB,AL,ALB,0,0,2862427,"Epidemic intelligence, national daily data",2020-02-17
Croatia,HRV,HR,HRV,0,0,4076246,"Epidemic intelligence, national daily data",2020-01-28
Azerbaijan,AZE,AZ,AZE,101,1,10139175,"Epidemic intelligence, national daily data",2020-05-16
Estonia,EST,EE,EST,3,1,1324820,"Epidemic intelligence, national daily data",2020-08-25
Belgium,BEL,BE,BEL,113,2,11455519,"Epidemic intelligence, national daily data",2020-06-27
Austria,AUT,AT,AUT,279,22,8858775,"Epidemic intelligence, national daily data",2020-04-10
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-03-18
Montenegro,MNE,ME,MNE,13,0,622182,"Epidemic intelligence, national daily data",2020-04-06
Germany,DEU,DE,DEU,3965,64,83019213,"Epidemic intelligence, national daily data",2020-03-29
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-07-15
Moldova,MDA,MD,MDA,0,0,4033963,"Epidemic intelligence, national daily data",2020-02-06
Luxembourg,LUX,LU,LUX,74,0,613894,"Epidemic intelligence, national daily data",2020-07-20
Luxembourg,LUX,LU,LUX,10,1,613894,"Epidemic intelligence, national daily data",2020-05-14
Finland,FIN,FI,FIN,58,0,5517919,"Epidemic intelligence, national daily data",2020-09-21
Malta,MLT,MT,MLT,0,0,493559,"Epidemic intelligence, national daily data",2020-01-18
Montenegro,MNE,ME,MNE,0,0,622182,"Epidemic intelligence, national daily data",2020-06-14
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-07-25
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-07-16
Iceland,ISL,IS,ISL,3,0,356991,"Epidemic intelligence, national daily data",2020-08-18
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-09-23
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-09-26
Lithuania,LTU,LT,LTU,0,0,2794184,"Epidemic intelligence, national daily data",2020-01-30
Montenegro,MNE,ME,MNE,232,3,622182,"Epidemic intelligence, national daily data",2020-10-06
Latvia,LVA,LV,LVA,250,1,1919968,"Epidemic intelligence, national daily data",2020-10-24
Luxembourg,LUX,LU,LUX,862,3,613894,"Epidemic intelligence, national daily data",2020-10-25
Finland,FIN,FI,FIN,5,0,5517919,"Epidemic intelligence, national daily data",2020-03-17
Iceland,ISL,IS,ISL,57,0,356991,"Epidemic intelligence, national daily data",2020-09-24
Greece,GRC,EL,GRC,229,4,10724599,"Epidemic intelligence, national daily data",2020-10-05
Iceland,ISL,IS,ISL,0,0,356991,"Epidemic intelligence, national daily data",2020-01-02
Italy,ITA,IT,ITA,2086,323,60359546,"Epidemic intelligence, national daily data",2020-04-30
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-08-04
Iceland,ISL,IS,ISL,0,0,356991,"Epidemic intelligence, national daily data",2020-05-11
Faroes,FRO,,,0,0,48865,"Epidemic intelligence, national daily data",2020-10-12
Netherlands,NLD,NL,NLD,777,234,17282163,"Epidemic intelligence, national daily data",2020-04-08
Kosovo,RKS,,,0,0,1798506,"Epidemic intelligence, national daily data",2020-02-10
Luxembourg,LUX,LU,LUX,110,0,613894,"Epidemic intelligence, national daily data",2020-09-17
Iceland,ISL,IS,ISL,0,0,356991,"Epidemic intelligence, national daily data",2020-02-15
Ireland,IRL,IE,IRL,8,3,4904240,"Epidemic intelligence, national daily data",2020-06-24
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-05-29
Italy,ITA,IT,ITA,238,4,60359546,"Epidemic intelligence, national daily data",2020-02-29
Montenegro,MNE,ME,MNE,28,0,622182,"Epidemic intelligence, national daily data",2020-07-02
Netherlands,NLD,NL,NLD,3253,13,17282163,"Epidemic intelligence, national daily data",2020-10-02
Iceland,ISL,IS,ISL,10,0,356991,"Epidemic intelligence, national daily data",2020-03-10
Ireland,IRL,IE,IRL,0,0,4904240,"Epidemic intelligence, national daily data",2020-02-12
Germany,DEU,DE,DEU,955,0,83019213,"Epidemic intelligence, national daily data",2020-08-01
Ireland,IRL,IE,IRL,0,0,4904240,"Epidemic intelligence, national daily data",2020-03-02
Latvia,LVA,LV,LVA,11,0,1919968,"Epidemic intelligence, national daily data",2020-09-12
Finland,FIN,FI,FIN,269,0,5517919,"Epidemic intelligence, national daily data",2020-10-11
Germany,DEU,DE,DEU,477,21,83019213,"Epidemic intelligence, national daily data",2020-06-26
Moldova,MDA,MD,MDA,0,0,4033963,"Epidemic intelligence, national daily data",2020-03-01
Finland,FIN,FI,FIN,291,0,5517919,"Epidemic intelligence, national daily data",2020-10-16
Monaco,MCO,MC,MCO,8,0,33085,"Epidemic intelligence, national daily data",2020-10-23
France,FRA,FR,FRA,492,186,67012883,"Epidemic intelligence, national daily data",2020-05-19
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-02-27
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-05-23
Jersey,JEY,JE,JEY,0,2,107796,"Epidemic intelligence, national daily data",2020-05-01
Ireland,IRL,IE,IRL,0,0,4904240,"Epidemic intelligence, national daily data",2020-02-03
Malta,MLT,MT,MLT,0,0,493559,"Epidemic intelligence, national daily data",2020-07-20
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-05-16
Hungary,HUN,HU,HUN,0,0,9772756,"Epidemic intelligence, national daily data",2020-02-11
Spain,ESP,ES,ESP,2144,15,46937060,"Epidemic intelligence, national daily data",2020-03-15
the Holy See/ Vatican City State,VAT,VA,VAT,0,0,809,"Epidemic intelligence, national daily data",2020-03-06
United Kingdom,GBR,UK,GBR,880,20,66647112,"Epidemic intelligence, national daily data",2020-08-01
Slovakia,SVK,SK,SVK,37,0,5450421,"Epidemic intelligence, national daily data",2020-04-02
Poland,POL,PL,POL,294,21,37972812,"Epidemic intelligence, national daily data",2020-06-25
Portugal,PRT,PT,PRT,375,3,10276617,"Epidemic intelligence, national daily data",2020-06-20
Slovakia,SVK,SK,SVK,7,0,5450421,"Epidemic intelligence, national daily data",2020-08-03
Portugal,PRT,PT,PRT,178,11,10276617,"Epidemic intelligence, national daily data",2020-05-06
Turkey,TUR,TR,TUR,967,15,82003882,"Epidemic intelligence, national daily data",2020-07-31
Norway,NOR,NO,NOR,152,0,5328212,"Epidemic intelligence, national daily data",2020-09-24
Slovakia,SVK,SK,SVK,1,0,5450421,"Epidemic intelligence, national daily data",2020-07-21
Switzerland,CHE,CH,CHE,974,56,8544527,"Epidemic intelligence, national daily data",2020-04-05
North Macedonia,MKD,MK,MKD,138,7,2077132,"Epidemic intelligence, national daily data",2020-08-02
Switzerland,CHE,CH,CHE,353,6,8544527,"Epidemic intelligence, national daily data",2020-03-19
Ukraine,UKR,UA,UKR,664,14,43733759,"Epidemic intelligence, national daily data",2020-07-02
United Kingdom,GBR,UK,GBR,639,14,66647112,"Epidemic intelligence, national daily data",2020-06-23
Ukraine,UKR,UA,UKR,0,0,43733759,"Epidemic intelligence, national daily data",2020-01-12
San Marino,SMR,SM,SMR,0,0,34453,"Epidemic intelligence, national daily data",2020-06-03
Turkey,TUR,TR,TUR,0,0,82003882,"Epidemic intelligence, national daily data",2020-03-05
Turkey,TUR,TR,TUR,0,0,82003882,"Epidemic intelligence, national daily data",2020-01-05
North Macedonia,MKD,MK,MKD,29,4,2077132,"Epidemic intelligence, national daily data",2020-05-02
Slovenia,SVN,SI,SVN,15,0,2080908,"Epidemic intelligence, national daily data",2020-07-01
Spain,ESP,ES,ESP,8532,27,46937060,"Epidemic intelligence, national daily data",2020-08-03
Ukraine,UKR,UA,UKR,4420,43,43733759,"Epidemic intelligence, national daily data",2020-10-13
San Marino,SMR,SM,SMR,28,0,34453,"Epidemic intelligence, national daily data",2020-10-23
Russia,RUS,RU,RUS,4070,41,145934460,"Epidemic intelligence, national daily data",2020-04-18
Norway,NOR,NO,NOR,0,0,5328212,"Epidemic intelligence, national daily data",2020-08-03
Turkey,TUR,TR,TUR,933,21,82003882,"Epidemic intelligence, national daily data",2020-07-17
United Kingdom,GBR,UK,GBR,3229,253,66647112,"Epidemic intelligence, national daily data",2020-05-04
Slovakia,SVK,SK,SVK,1,0,5450421,"Epidemic intelligence, national daily data",2020-05-18
Romania,ROU,RO,ROU,0,0,19414458,"Epidemic intelligence, national daily data",2020-02-12
San Marino,SMR,SM,SMR,3,0,34453,"Epidemic intelligence, national daily data",2020-06-13
Serbia,SRB,RS,SRB,74,2,6963764,"Epidemic intelligence, national daily data",2020-09-16
Slovakia,SVK,SK,SVK,231,0,5450421,"Epidemic intelligence, national daily data",2020-09-12
Switzerland,CHE,CH,CHE,33,3,8544527,"Epidemic intelligence, national daily data",2020-05-14
Spain,ESP,ES,ESP,0,0,46937060,"Epidemic intelligence, national daily data",2020-01-07
Slovenia,SVN,SI,SVN,24,0,2080908,"Epidemic intelligence, national daily data",2020-07-22
Cyprus,CYP,CY,CYP,0,0,875899,"Epidemic intelligence, national daily data",2020-06-18
Albania,ALB,AL,ALB,5,0,2862427,"Epidemic intelligence, national daily data",2020-03-15
Bulgaria,BGR,BG,BGR,28,1,7000039,"Epidemic intelligence, national daily data",2020-04-08
Denmark,DNK,DK,DNK,75,0,5806081,"Epidemic intelligence, national daily data",2020-03-10
Azerbaijan,AZE,AZ,AZE,110,1,10139175,"Epidemic intelligence, national daily data",2020-10-01
Belgium,BEL,BE,BEL,0,0,11455519,"Epidemic intelligence, national daily data",2020-01-27
Cyprus,CYP,CY,CYP,3,0,875899,"Epidemic intelligence, national daily data",2020-05-16
Belarus,BLR,BY,BLR,911,4,9449321,"Epidemic intelligence, national daily data",2020-05-03
Czechia,CZE,CZ,CZE,0,0,10649800,"Epidemic intelligence, national daily data",2020-01-03
Austria,AUT,AT,AUT,661,6,8858775,"Epidemic intelligence, national daily data",2020-09-24
Belarus,BLR,BY,BLR,0,0,9449321,"Epidemic intelligence, national daily data",2020-01-03
Azerbaijan,AZE,AZ,AZE,544,8,10139175,"Epidemic intelligence, national daily data",2020-06-30
Andorra,AND,AD,AND,38,1,76177,"Epidemic intelligence, national daily data",2020-04-03
Bulgaria,BGR,BG,BGR,0,0,7000039,"Epidemic intelligence, national daily data",2020-03-10
Albania,ALB,AL,ALB,92,4,2862427,"Epidemic intelligence, national daily data",2020-07-31
Bulgaria,BGR,BG,BGR,0,0,7000039,"Epidemic intelligence, national daily data",2020-01-16
Croatia,HRV,HR,HRV,56,3,4076246,"Epidemic intelligence, national daily data",2020-04-06
Austria,AUT,AT,AUT,158,0,8858775,"Epidemic intelligence, national daily data",2020-08-19
Armenia,ARM,AM,ARM,354,10,2963234,"Epidemic intelligence, national daily data",2020-07-31
Iceland,ISL,IS,ISL,2,0,356991,"Epidemic intelligence, national daily data",2020-09-01
Georgia,GEO,GE,GEO,23,0,3989175,"Epidemic intelligence, national daily data",2020-09-02
Liechtenstein,LIE,LI,LIE,3,0,38378,"Epidemic intelligence, national daily data",2020-03-16
Italy,ITA,IT,ITA,0,0,60359546,"Epidemic intelligence, national daily data",2020-02-11
Italy,ITA,IT,ITA,518,85,60359546,"Epidemic intelligence, national daily data",2020-06-06
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-02-21
Iceland,ISL,IS,ISL,2,0,356991,"Epidemic intelligence, national daily data",2020-03-02
Finland,FIN,FI,FIN,9,0,5517919,"Epidemic intelligence, national daily data",2020-06-13
Germany,DEU,DE,DEU,454,5,83019213,"Epidemic intelligence, national daily data",2020-07-22
Latvia,LVA,LV,LVA,31,0,1919968,"Epidemic intelligence, national daily data",2020-09-26
Greece,GRC,EL,GRC,21,1,10724599,"Epidemic intelligence, national daily data",2020-05-07
Lithuania,LTU,LT,LTU,37,0,2794184,"Epidemic intelligence, national daily data",2020-08-09
Hungary,HUN,HU,HUN,210,11,9772756,"Epidemic intelligence, national daily data",2020-04-10
Georgia,GEO,GE,GEO,0,0,3989175,"Epidemic intelligence, national daily data",2020-09-30
Germany,DEU,DE,DEU,394,30,83019213,"Epidemic intelligence, national daily data",2020-06-04
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-02-24
Faroes,FRO,,,1,0,48865,"Epidemic intelligence, national daily data",2020-03-07
Italy,ITA,IT,ITA,1075,236,60359546,"Epidemic intelligence, national daily data",2020-05-06
Luxembourg,LUX,LU,LUX,0,0,613894,"Epidemic intelligence, national daily data",2020-09-06
Kosovo,RKS,,,80,1,1798506,"Epidemic intelligence, national daily data",2020-10-15
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-06-07
Malta,MLT,MT,MLT,0,0,493559,"Epidemic intelligence, national daily data",2020-03-04
Netherlands,NLD,NL,NLD,289,63,17282163,"Epidemic intelligence, national daily data",2020-05-10
Greece,GRC,EL,GRC,0,0,10724599,"Epidemic intelligence, national daily data",2020-02-07
Malta,MLT,MT,MLT,0,0,493559,"Epidemic intelligence, national daily data",2020-01-20
Ireland,IRL,IE,IRL,998,3,4904240,"Epidemic intelligence, national daily data",2020-10-17
Montenegro,MNE,ME,MNE,32,0,622182,"Epidemic intelligence, national daily data",2020-08-24
Latvia,LVA,LV,LVA,5,0,1919968,"Epidemic intelligence, national daily data",2020-08-03
Greece,GRC,EL,GRC,204,5,10724599,"Epidemic intelligence, national daily data",2020-08-14
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-06-10
Jersey,JEY,JE,JEY,0,0,107796,"Epidemic intelligence, national daily data",2020-02-02
Hungary,HUN,HU,HUN,9,0,9772756,"Epidemic intelligence, national daily data",2020-08-03
Moldova,MDA,MD,MDA,918,18,4033963,"Epidemic intelligence, national daily data",2020-10-10
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-06-03
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-07-17
Moldova,MDA,MD,MDA,189,10,4033963,"Epidemic intelligence, national daily data",2020-05-17
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-02-10
Luxembourg,LUX,LU,LUX,0,0,613894,"Epidemic intelligence, national daily data",2020-03-10
Luxembourg,LUX,LU,LUX,78,0,613894,"Epidemic intelligence, national daily data",2020-09-27
Montenegro,MNE,ME,MNE,106,1,622182,"Epidemic intelligence, national daily data",2020-09-08
Hungary,HUN,HU,HUN,0,0,9772756,"Epidemic intelligence, national daily data",2020-01-07
Romania,ROU,RO,ROU,0,0,19414458,"Epidemic intelligence, national daily data",2020-02-13
Sweden,SWE,SE,SWE,145,6,10230185,"Epidemic intelligence, national daily data",2020-03-19
Norway,NOR,NO,NOR,41,1,5328212,"Epidemic intelligence, national daily data",2020-05-23
Ukraine,UKR,UA,UKR,735,8,43733759,"Epidemic intelligence, national daily data",2020-06-22
Romania,ROU,RO,ROU,952,39,19414458,"Epidemic intelligence, national daily data",2020-08-31
Romania,ROU,RO,ROU,1454,53,19414458,"Epidemic intelligence, national daily data",2020-08-14
Romania,ROU,RO,ROU,246,26,19414458,"Epidemic intelligence, national daily data",2020-04-15
Sweden,SWE,SE,SWE,321,22,10230185,"Epidemic intelligence, national daily data",2020-06-22
North Macedonia,MKD,MK,MKD,0,0,2077132,"Epidemic intelligence, national daily data",2020-01-02
the Holy See/ Vatican City State,VAT,VA,VAT,0,0,809,"Epidemic intelligence, national daily data",2020-08-14
North Macedonia,MKD,MK,MKD,108,2,2077132,"Epidemic intelligence, national daily data",2020-08-20
Slovakia,SVK,SK,SVK,1,0,5450421,"Epidemic intelligence, national daily data",2020-06-05
United Kingdom,GBR,UK,GBR,769,34,66647112,"Epidemic intelligence, national daily data",2020-03-19
Poland,POL,PL,POL,228,7,37972812,"Epidemic intelligence, national daily data",2020-05-02
United Kingdom,GBR,UK,GBR,713,3,66647112,"Epidemic intelligence, national daily data",2020-08-18
Poland,POL,PL,POL,476,10,37972812,"Epidemic intelligence, national daily data",2020-05-23
San Marino,SMR,SM,SMR,0,0,34453,"Epidemic intelligence, national daily data",2020-01-06
Turkey,TUR,TR,TUR,1542,47,82003882,"Epidemic intelligence, national daily data",2020-05-11
United Kingdom,GBR,UK,GBR,1120,143,66647112,"Epidemic intelligence, national daily data",2020-06-07
Slovakia,SVK,SK,SVK,0,0,5450421,"Epidemic intelligence, national daily data",2020-03-31
Sweden,SWE,SE,SWE,1046,28,10230185,"Epidemic intelligence, national daily data",2020-06-04
United Kingdom,GBR,UK,GBR,1,0,66647112,"Epidemic intelligence, national daily data",2020-02-11
Turkey,TUR,TR,TUR,0,0,82003882,"Epidemic intelligence, national daily data",2020-02-29
Spain,ESP,ES,ESP,11289,130,46937060,"Epidemic intelligence, national daily data",2020-09-23
the Holy See/ Vatican City State,VAT,VA,VAT,0,0,809,"Epidemic intelligence, national daily data",2020-02-03
North Macedonia,MKD,MK,MKD,145,2,2077132,"Epidemic intelligence, national daily data",2020-09-04
Czechia,CZE,CZ,CZE,656,0,10649800,"Epidemic intelligence, national daily data",2020-09-03
Croatia,HRV,HR,HRV,52,0,4076246,"Epidemic intelligence, national daily data",2020-07-01
Belarus,BLR,BY,BLR,142,4,9449321,"Epidemic intelligence, national daily data",2020-07-20
Cyprus,CYP,CY,CYP,0,0,875899,"Epidemic intelligence, national daily data",2020-08-28
Austria,AUT,AT,AUT,63,0,8858775,"Epidemic intelligence, national daily data",2020-07-20
Bosnia and Herzegovina,BIH,BA,BIH,22,3,3280815,"Epidemic intelligence, national daily data",2020-05-10
Czechia,CZE,CZ,CZE,326,0,10649800,"Epidemic intelligence, national daily data",2020-08-14
Cyprus,CYP,CY,CYP,0,0,875899,"Epidemic intelligence, national daily data",2020-02-03
Denmark,DNK,DK,DNK,0,0,5806081,"Epidemic intelligence, national daily data",2020-01-28
Estonia,EST,EE,EST,5,0,1324820,"Epidemic intelligence, national daily data",2020-05-02
Bulgaria,BGR,BG,BGR,99,18,7000039,"Epidemic intelligence, national daily data",2020-08-25
Austria,AUT,AT,AUT,0,0,8858775,"Epidemic intelligence, national daily data",2020-02-20
Belgium,BEL,BE,BEL,1738,170,11455519,"Epidemic intelligence, national daily data",2020-03-31
Andorra,AND,AD,AND,0,0,76177,"Epidemic intelligence, national daily data",2020-01-02
Denmark,DNK,DK,DNK,39,1,5806081,"Epidemic intelligence, national daily data",2020-06-27
Belgium,BEL,BE,BEL,2239,271,11455519,"Epidemic intelligence, national daily data",2020-04-10
Albania,ALB,AL,ALB,123,5,2862427,"Epidemic intelligence, national daily data",2020-09-05
Albania,ALB,AL,ALB,0,0,2862427,"Epidemic intelligence, national daily data",2020-02-16
Bosnia and Herzegovina,BIH,BA,BIH,0,0,3280815,"Epidemic intelligence, national daily data",2020-02-13
Belarus,BLR,BY,BLR,127,3,9449321,"Epidemic intelligence, national daily data",2020-08-07
Bosnia and Herzegovina,BIH,BA,BIH,0,0,3280815,"Epidemic intelligence, national daily data",2020-01-29
Faroes,FRO,,,0,0,48865,"Epidemic intelligence, national daily data",2020-08-09
Montenegro,MNE,ME,MNE,0,0,622182,"Epidemic intelligence, national daily data",2020-01-29
Italy,ITA,IT,ITA,338,44,60359546,"Epidemic intelligence, national daily data",2020-06-15
Luxembourg,LUX,LU,LUX,112,0,613894,"Epidemic intelligence, national daily data",2020-09-22
France,FRA,FR,FRA,418,110,67012883,"Epidemic intelligence, national daily data",2020-05-21
Luxembourg,LUX,LU,LUX,0,0,613894,"Epidemic intelligence, national daily data",2020-02-19
Malta,MLT,MT,MLT,5,0,493559,"Epidemic intelligence, national daily data",2020-05-19
Hungary,HUN,HU,HUN,1068,21,9772756,"Epidemic intelligence, national daily data",2020-10-11
Monaco,MCO,MC,MCO,0,0,33085,"Epidemic intelligence, national daily data",2020-08-01
Luxembourg,LUX,LU,LUX,66,2,613894,"Epidemic intelligence, national daily data",2020-04-16
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-02-19
Germany,DEU,DE,DEU,1390,4,83019213,"Epidemic intelligence, national daily data",2020-08-18
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-02-26
Italy,ITA,IT,ITA,4458,22,60359546,"Epidemic intelligence, national daily data",2020-10-09
Gibraltar,GIB,GI,GIB,1,0,33691,"Epidemic intelligence, national daily data",2020-06-04
Hungary,HUN,HU,HUN,26,11,9772756,"Epidemic intelligence, national daily data",2020-05-18
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-03-12
Finland,FIN,FI,FIN,5,0,5517919,"Epidemic intelligence, national daily data",2020-07-03
Moldova,MDA,MD,MDA,0,0,4033963,"Epidemic intelligence, national daily data",2020-01-07
Italy,ITA,IT,ITA,1444,1,60359546,"Epidemic intelligence, national daily data",2020-08-30
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-07-12
Lithuania,LTU,LT,LTU,9,0,2794184,"Epidemic intelligence, national daily data",2020-05-05
Greece,GRC,EL,GRC,19,0,10724599,"Epidemic intelligence, national daily data",2020-06-03
Netherlands,NLD,NL,NLD,7978,16,17282163,"Epidemic intelligence, national daily data",2020-10-17
Montenegro,MNE,ME,MNE,9,1,622182,"Epidemic intelligence, national daily data",2020-04-13
Montenegro,MNE,ME,MNE,216,3,622182,"Epidemic intelligence, national daily data",2020-09-09
Finland,FIN,FI,FIN,132,7,5517919,"Epidemic intelligence, national daily data",2020-04-08
Iceland,ISL,IS,ISL,0,0,356991,"Epidemic intelligence, national daily data",2020-05-07
Kosovo,RKS,,,96,4,1798506,"Epidemic intelligence, national daily data",2020-06-28
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-05-24
Greece,GRC,EL,GRC,0,0,10724599,"Epidemic intelligence, national daily data",2020-01-23
Isle of Man,IMN,,,1,0,85032,"Epidemic intelligence, national daily data",2020-05-07
Hungary,HUN,HU,HUN,459,1,9772756,"Epidemic intelligence, national daily data",2020-09-05
Monaco,MCO,MC,MCO,0,0,33085,"Epidemic intelligence, national daily data",2020-07-07
Iceland,ISL,IS,ISL,9,0,356991,"Epidemic intelligence, national daily data",2020-08-25
Monaco,MCO,MC,MCO,0,0,33085,"Epidemic intelligence, national daily data",2020-05-14
Monaco,MCO,MC,MCO,0,0,33085,"Epidemic intelligence, national daily data",2020-01-03
Faroes,FRO,,,0,0,48865,"Epidemic intelligence, national daily data",2020-04-28
Serbia,SRB,RS,SRB,193,1,6963764,"Epidemic intelligence, national daily data",2020-06-27
Serbia,SRB,RS,SRB,0,0,6963764,"Epidemic intelligence, national daily data",2020-02-24
Spain,ESP,ES,ESP,564,3,46937060,"Epidemic intelligence, national daily data",2020-06-27
Ukraine,UKR,UA,UKR,26,0,43733759,"Epidemic intelligence, national daily data",2020-03-24
Switzerland,CHE,CH,CHE,23,12,8544527,"Epidemic intelligence, national daily data",2020-06-11
Switzerland,CHE,CH,CHE,1138,38,8544527,"Epidemic intelligence, national daily data",2020-03-31
Switzerland,CHE,CH,CHE,66,13,8544527,"Epidemic intelligence, national daily data",2020-05-08
Slovakia,SVK,SK,SVK,0,0,5450421,"Epidemic intelligence, national daily data",2020-06-02
the Holy See/ Vatican City State,VAT,VA,VAT,0,0,809,"Epidemic intelligence, national daily data",2020-10-18
Ukraine,UKR,UA,UKR,0,0,43733759,"Epidemic intelligence, national daily data",2020-10-10
Serbia,SRB,RS,SRB,96,3,6963764,"Epidemic intelligence, national daily data",2020-09-05
North Macedonia,MKD,MK,MKD,0,0,2077132,"Epidemic intelligence, national daily data",2020-08-21
Portugal,PRT,PT,PRT,425,4,10276617,"Epidemic intelligence, national daily data",2020-09-16
United Kingdom,GBR,UK,GBR,3052,328,66647112,"Epidemic intelligence, national daily data",2020-05-21
Ukraine,UKR,UA,UKR,245,7,43733759,"Epidemic intelligence, national daily data",2020-04-02
Slovenia,SVN,SI,SVN,0,0,2080908,"Epidemic intelligence, national daily data",2020-01-31
Ukraine,UKR,UA,UKR,0,0,43733759,"Epidemic intelligence, national daily data",2020-02-03
Russia,RUS,RU,RUS,4852,73,145934460,"Epidemic intelligence, national daily data",2020-08-24
Ukraine,UKR,UA,UKR,325,21,43733759,"Epidemic intelligence, national daily data",2020-05-19
Serbia,SRB,RS,SRB,14,0,6963764,"Epidemic intelligence, national daily data",2020-03-22
Slovenia,SVN,SI,SVN,6,0,2080908,"Epidemic intelligence, national daily data",2020-06-21
Serbia,SRB,RS,SRB,169,3,6963764,"Epidemic intelligence, national daily data",2020-08-22
Serbia,SRB,RS,SRB,83,1,6963764,"Epidemic intelligence, national daily data",2020-09-25
Czechia,CZE,CZ,CZE,134,0,10649800,"Epidemic intelligence, national daily data",2020-07-16
Belarus,BLR,BY,BLR,250,6,9449321,"Epidemic intelligence, national daily data",2020-07-07
Armenia,ARM,AM,ARM,327,1,2963234,"Epidemic intelligence, national daily data",2020-09-30
Bulgaria,BGR,BG,BGR,0,0,7000039,"Epidemic intelligence, national daily data",2020-02-26
Bulgaria,BGR,BG,BGR,8,0,7000039,"Epidemic intelligence, national daily data",2020-03-14
Belarus,BLR,BY,BLR,1063,11,9449321,"Epidemic intelligence, national daily data",2020-10-12
Czechia,CZE,CZ,CZE,408,3,10649800,"Epidemic intelligence, national daily data",2020-03-27
Albania,ALB,AL,ALB,82,0,2862427,"Epidemic intelligence, national daily data",2020-07-10
Denmark,DNK,DK,DNK,24,1,5806081,"Epidemic intelligence, national daily data",2020-06-16
Estonia,EST,EE,EST,103,1,1324820,"Epidemic intelligence, national daily data",2020-04-04
Croatia,HRV,HR,HRV,81,0,4076246,"Epidemic intelligence, national daily data",2020-07-25
Austria,AUT,AT,AUT,76,0,8858775,"Epidemic intelligence, national daily data",2020-08-10
